RegionID,SizeRank,RegionName,RegionType,StateName,BaseDate,2022-09-30,2022-11-30,2023-08-31
395000,305,"Pottsville, PA",msa,PA,2022-08-31,0.3,1.0,3.9
394879,306,"Morgantown, WV",msa,WV,2022-08-31,0.0,-1.2,-1.7
395139,307,"Sumter, SC",msa,SC,2022-08-31,0.5,0.2,1.1
395153,308,"The Villages, FL",msa,FL,2022-08-31,0.5,0.2,3.3
395094,309,"Sherman, TX",msa,TX,2022-08-31,0.6,1.3,6.3
395221,310,"Wheeling, WV",msa,OH,2022-08-31,0.1,-0.5,0.2
394756,311,"La Crosse, WI",msa,WI,2022-08-31,0.2,-0.4,0.6
394661,312,"Hammond, LA",msa,LA,2022-08-31,0.2,-0.3,-1.5
394900,313,"Napa, CA",msa,CA,2022-08-31,-1.1,-3.5,-3.5
394668,314,"Harrisonburg, VA",msa,VA,2022-08-31,0.2,-0.1,0.0
394728,315,"Jonesboro, AR",msa,AR,2022-08-31,0.3,-0.2,0.9
394442,316,"Carbondale, IL",msa,IL,2022-08-31,0.5,-0.2,-1.3
394577,317,"Eureka, CA",msa,CA,2022-08-31,0.4,-0.3,1.2
395117,318,"Springfield, OH",msa,OH,2022-08-31,0.7,0.3,1.7
394368,319,"Battle Creek, MI",msa,MI,2022-08-31,-0.5,-0.9,1.5
394307,320,"Albany, OR",msa,OR,2022-08-31,0.1,0.4,4.2
394890,321,"Mount Vernon, WA",msa,WA,2022-08-31,-1.3,-3.1,0.6
394821,322,"Manhattan, KS",msa,KS,2022-08-31,0.1,-0.8,-1.5
394810,323,"Lumberton, NC",msa,NC,2022-08-31,0.3,-0.1,1.9
394390,324,"Bismarck, ND",msa,ND,2022-08-31,0.1,-0.9,-2.9
